drift_beta,MSE of correlation,MSE of correlation
-1.0,0.6751130835219533,0.09255549601067904
-0.9,0.6223470150224317,0.09344329768227823
-0.8,0.5307183988102007,0.09398812507618338
-0.7,0.46498920047046827,0.09392309577317148
-0.6,0.3752083261464405,0.09554643151863523
-0.5,0.2889866503066772,0.09679378395176781
-0.4,0.14615284570177134,0.10436438311041413
-0.3,-0.020924688060765823,0.10595725225417982
-0.2,-0.3519421279409874,0.11267758285921507
-0.1,-0.7369264780614156,0.11381776368432231
0.0,-1.5387280206852816,0.055662534590496415
0.1,-1.546441224980965,0.049038977219112885
0.2,-1.365546778342377,0.06070849085714461
0.3,-0.8555541633207677,0.09228452678590504
0.4,0.10018880660057232,0.11655101299749049
0.5,1.254979617042278,0.1565656066921733
0.6,1.0221638183289752,0.13013773873111148
0.7,0.3269115014707367,0.1057499287113362
0.8,0.4389799310326585,0.10670345031783782
0.9,0.37629166978138545,0.10459141645124233
1.0,0.13947263518222458,0.09369956075327196
1.1,-0.04121707124095693,0.08177183779252356
1.2,-0.21585916133499053,0.07752900555596895
1.3,-0.3143323731408486,0.07440923335074386
1.4,-0.3404180219001116,0.07055114467730376
1.5,-0.16435608892328193,0.0696107658030728
1.6,-0.0417978961880776,0.07363907688839612
1.7,0.04416985828692438,0.07549158842281492
1.8,0.2585405898302438,0.08141106285375804
1.9,0.46883014658488503,0.08841268968456358
