drift_beta,psnr of Images,psnr of Images
-1.0,-0.24472093187220956,0.00018957483456285323
-0.9,-0.2298074878708861,0.00014071825930075458
-0.8,-0.213135679955733,8.610133017152767e-05
-0.7,-0.19423475644224852,2.4181852678717785e-05
-0.6,-0.1724152272690858,4.7299593717587174e-05
-0.5,-0.14660819537316908,0.00013184356991354838
-0.4,-0.11502294243308724,0.0002353171000345637
-0.3,-0.07430246683917405,0.0003687176904224222
-0.2,-0.016910233842021945,0.0005567354574288497
-0.1,0.08120251154856069,0.0008781537250279252
0.0,5.351540688910905,0.0002201991987065068
0.1,0.08120246771839576,0.0008781538086160676
0.2,-0.016910223617215916,0.0005567353985415521
0.3,-0.07430250321934936,0.00036871776127063205
0.4,-0.11502295422897471,0.00023531711151139002
0.5,-0.14660820413412384,0.00013184358105792666
0.6,-0.17241522846342314,4.729958709706255e-05
0.7,-0.19423475387951117,2.418186222961876e-05
0.8,-0.21313569135746854,8.610130092019268e-05
0.9,-0.2298074961525622,0.00014071824165379711
1.0,-0.24472093629001024,0.00018957482210931628
1.1,-0.2582117837738398,0.00023377097450455667
1.2,-0.27052796253351663,0.0002741189056224613
1.3,-0.2818577457025497,0.0003112353417844905
1.4,-0.29234748895707413,0.000345599858272489
1.5,-0.30211320596780655,0.000377592453991706
1.6,-0.31124842638376726,0.00040751952647474267
1.7,-0.3198296428581819,0.00043563169434378333
1.8,-0.32792023036185947,0.0004621365019656094
1.9,-0.3355732683990099,0.00048720795089859253
